,frequency,mtf %
152,383.83838383838383,1.2871719374745645
153,386.36363636363643,1.2314313918349113
154,388.8888888888889,1.1776830577483715
155,391.41414141414145,1.1260766648443115
156,393.939393939394,1.0765892771673728
157,396.4646464646465,1.0290298380843494
158,398.9898989898991,0.9830739871560424
159,401.5151515151515,0.9383213837808382
160,404.04040404040404,0.8943623411713018
161,406.56565656565664,0.8508393918854964
162,409.09090909090907,0.8074924113257067
163,411.61616161616166,0.7641815829196571
164,414.1414141414142,0.7208887149505849
165,416.6666666666667,0.6777024121069951
166,419.1919191919192,0.6347952399727311
167,421.71717171717177,0.5924009289085522
168,424.24242424242425,0.5507972166824047
169,426.7676767676768,0.5102961659921157
170,429.29292929292933,0.47124015986388257
171,431.8181818181818,0.43399962001433123
172,434.34343434343435,0.3989684781367445
